run_id,test_instance_id,decomposition_type
193,149,ow-oip-tpf
194,149,owip-tpf
195,149,ow-oip-t-pf
196,149,owip-t-pf
197,150,ow-oip-tpf
198,150,owip-tpf
199,150,ow-oip-t-pf
200,150,owip-t-pf
201,151,ow-oip-tpf
202,151,owip-tpf
203,151,ow-oip-t-pf
204,151,owip-t-pf
205,152,ow-oip-tpf
206,152,owip-tpf
207,152,ow-oip-t-pf
208,152,owip-t-pf
209,153,ow-oip-tpf
210,153,owip-tpf
211,153,ow-oip-t-pf
212,153,owip-t-pf
213,154,ow-oip-tpf
214,154,owip-tpf
215,154,ow-oip-t-pf
216,154,owip-t-pf
217,155,ow-oip-tpf
218,155,owip-tpf
219,155,ow-oip-t-pf
220,155,owip-t-pf
221,156,ow-oip-tpf
222,156,owip-tpf
223,156,ow-oip-t-pf
224,156,owip-t-pf
225,157,ow-oip-tpf
226,157,owip-tpf
227,157,ow-oip-t-pf
228,157,owip-t-pf
229,158,ow-oip-tpf
230,158,owip-tpf
231,158,ow-oip-t-pf
232,158,owip-t-pf
233,159,ow-oip-tpf
234,159,owip-tpf
235,159,ow-oip-t-pf
236,159,owip-t-pf
237,160,ow-oip-tpf
238,160,owip-tpf
239,160,ow-oip-t-pf
240,160,owip-t-pf
241,161,ow-oip-tpf
242,161,owip-tpf
243,161,ow-oip-t-pf
244,161,owip-t-pf
245,162,ow-oip-tpf
246,162,owip-tpf
247,162,ow-oip-t-pf
248,162,owip-t-pf
249,163,ow-oip-tpf
250,163,owip-tpf
251,163,ow-oip-t-pf
252,163,owip-t-pf
253,164,ow-oip-tpf
254,164,owip-tpf
255,164,ow-oip-t-pf
256,164,owip-t-pf
257,165,ow-oip-tpf
258,165,owip-tpf
259,165,ow-oip-t-pf
260,165,owip-t-pf
261,166,ow-oip-tpf
262,166,owip-tpf
263,166,ow-oip-t-pf
264,166,owip-t-pf
265,167,ow-oip-tpf
266,167,owip-tpf
267,167,ow-oip-t-pf
268,167,owip-t-pf
269,168,ow-oip-tpf
270,168,owip-tpf
271,168,ow-oip-t-pf
272,168,owip-t-pf
273,169,ow-oip-tpf
274,169,owip-tpf
275,169,ow-oip-t-pf
276,169,owip-t-pf
277,170,ow-oip-tpf
278,170,owip-tpf
279,170,ow-oip-t-pf
280,170,owip-t-pf
281,171,ow-oip-tpf
282,171,owip-tpf
283,171,ow-oip-t-pf
284,171,owip-t-pf
285,172,ow-oip-tpf
286,172,owip-tpf
287,172,ow-oip-t-pf
288,172,owip-t-pf
289,173,ow-oip-tpf
290,173,owip-tpf
291,173,ow-oip-t-pf
292,173,owip-t-pf
293,174,ow-oip-tpf
294,174,owip-tpf
295,174,ow-oip-t-pf
296,174,owip-t-pf
297,175,ow-oip-tpf
298,175,owip-tpf
299,175,ow-oip-t-pf
300,175,owip-t-pf
301,176,ow-oip-tpf
302,176,owip-tpf
303,176,ow-oip-t-pf
304,176,owip-t-pf
305,177,ow-oip-tpf
306,177,owip-tpf
307,177,ow-oip-t-pf
308,177,owip-t-pf
309,178,ow-oip-tpf
310,178,owip-tpf
311,178,ow-oip-t-pf
312,178,owip-t-pf
313,179,ow-oip-tpf
314,179,owip-tpf
315,179,ow-oip-t-pf
316,179,owip-t-pf
317,180,ow-oip-tpf
318,180,owip-tpf
319,180,ow-oip-t-pf
320,180,owip-t-pf
321,181,ow-oip-tpf
322,181,owip-tpf
