run_id,test_instance_id,method,initialization,targetnumpods,targetnumorders,targetnumitems,subproblemsevaluated,subproblemtimeinterval,timeforreooptimization,timeforsubproblemselection,tabutype,mlmodel,partitionobjective
314,1,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,synergy
315,1,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,synergy
316,1,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,random
317,1,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,random
318,1,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,random
319,1,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,random
320,1,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,random
321,1,LTO,greedy,24,20,72,50,360,10,10,lastoptall,partition,random
322,1,LTO,greedy,24,20,72,50,360,30,30,tabu15,partition,random
323,1,LTO,greedy,24,20,72,50,360,20,20,tabu15,partition,random
324,1,LTO,greedy,24,20,72,50,360,10,10,tabu15,partition,random
325,1,LTO,greedy,24,20,72,50,360,30,30,tabu8,partition,random
326,1,LTO,greedy,24,20,72,50,360,20,20,tabu8,partition,random
327,1,LTO,greedy,24,20,72,50,360,10,10,tabu8,partition,random
328,1,LTO,greedy,24,20,72,50,360,30,30,orderedsp,partition,random
329,1,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,random
330,1,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,random
331,1,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,heuristic
332,1,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,heuristic
333,1,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,heuristic
334,1,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,heuristic
335,1,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,heuristic
336,1,LTO,greedy,24,20,72,50,360,10,10,lastoptall,partition,heuristic
337,1,LTO,greedy,24,20,72,50,360,30,30,tabu15,partition,heuristic
338,1,LTO,greedy,24,20,72,50,360,20,20,tabu15,partition,heuristic
339,1,LTO,greedy,24,20,72,50,360,10,10,tabu15,partition,heuristic
340,1,LTO,greedy,24,20,72,50,360,30,30,tabu8,partition,heuristic
341,1,LTO,greedy,24,20,72,50,360,20,20,tabu8,partition,heuristic
342,1,LTO,greedy,24,20,72,50,360,10,10,tabu8,partition,heuristic
343,1,LTO,greedy,24,20,72,50,360,30,30,orderedsp,partition,heuristic
344,1,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,heuristic
345,1,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,heuristic
346,2,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,synergy
347,2,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,synergy
348,2,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,synergy
349,2,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,synergy
350,2,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,synergy
351,2,LTO,greedy,24,20,72,50,360,10,10,lastoptall,partition,synergy
352,2,LTO,greedy,24,20,72,50,360,30,30,tabu15,partition,synergy
353,2,LTO,greedy,24,20,72,50,360,20,20,tabu15,partition,synergy
354,2,LTO,greedy,24,20,72,50,360,10,10,tabu15,partition,synergy
355,2,LTO,greedy,24,20,72,50,360,30,30,tabu8,partition,synergy
356,2,LTO,greedy,24,20,72,50,360,20,20,tabu8,partition,synergy
357,2,LTO,greedy,24,20,72,50,360,10,10,tabu8,partition,synergy
358,2,LTO,greedy,24,20,72,50,360,30,30,orderedsp,partition,synergy
359,2,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,synergy
360,2,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,synergy
361,2,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,random
362,2,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,random
363,2,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,random
364,2,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,random
365,2,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,random
