row_id,run_id,test_instance_id,test_instance_mod,warehouse_id,random_seed,method,initialization,timeforsubproblem,partition,lsnsiteration,objective,solve_time,cumul_time
247,247,45,45,5,66414,Domain-based,(cold start),,1,24,182,7.778000116,231.3830004
247,247,45,45,5,66414,Domain-based,(cold start),,1,25,182,7.786000013,239.1690004
247,247,45,45,5,66414,Domain-based,(cold start),,1,26,182,8.93599987,248.1050003
247,247,45,45,5,66414,Domain-based,(cold start),,1,27,182,8.725999832,256.8310001
247,247,45,45,5,66414,Domain-based,(cold start),,1,28,182,8.363000154,265.1940002
247,247,45,45,5,66414,Domain-based,(cold start),,1,29,186,9.003000021,274.1970003
247,247,45,45,5,66414,Domain-based,(cold start),,1,30,193,7.752000093,281.9490004
247,247,45,45,5,66414,Domain-based,(cold start),,1,31,193,7.683999777,289.6330001
247,247,45,45,5,66414,Domain-based,(cold start),,1,32,197,7.999000072,297.6320002
247,247,45,45,5,66414,Domain-based,(cold start),,1,33,205,8.723999977,306.3560002
247,247,45,45,5,66414,Domain-based,(cold start),,1,34,211,5.980000019,312.3360002
247,247,45,45,5,66414,Domain-based,(cold start),,1,35,217,8.52699995,320.8630002
247,247,45,45,5,66414,Domain-based,(cold start),,1,36,217,8.95600009,329.8190002
247,247,45,45,5,66414,Domain-based,(cold start),,1,37,221,8.427000046,338.2460003
247,247,45,45,5,66414,Domain-based,(cold start),,1,38,221,9.154000044,347.4000003
247,247,45,45,5,66414,Domain-based,(cold start),,1,39,224,8.184000015,355.5840003
247,247,45,45,5,66414,Domain-based,(cold start),,1,40,225,9.184000015,364.7680004
247,247,45,45,5,66414,Domain-based,(cold start),,1,41,227,8.241000175,373.0090005
247,247,45,45,5,66414,Domain-based,(cold start),,1,42,227,8.072000027,381.0810006
247,247,45,45,5,66414,Domain-based,(cold start),,1,43,227,6.698000193,387.7790008
247,247,45,45,5,66414,Domain-based,(cold start),,1,44,229,6.92599988,394.7050006
247,247,45,45,5,66414,Domain-based,(cold start),,1,45,230,7.661000013,402.3660007
247,247,45,45,5,66414,Domain-based,(cold start),,1,46,230,8.978000164,411.3440008
247,247,45,45,5,66414,Domain-based,(cold start),,1,47,230,9.005000114,420.3490009
247,247,45,45,5,66414,Domain-based,(cold start),,1,48,230,10.07299995,430.4220009
247,247,45,45,5,66414,Domain-based,(cold start),,1,49,233,9.649999857,440.0720007
247,247,45,45,5,66414,Domain-based,(cold start),,1,50,233,7.97300005,448.0450008
247,247,45,45,5,66414,Domain-based,(cold start),,1,51,233,7.97300005,499
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,0,0,0.005553007,0
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,1,10,294.7496939,294.7496939
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,2,21,204.120131,498.8698249
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,3,39,544.958189,1700.095685
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,4,48,554.4480262,2254.543711
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,5,53,549.9839439,2804.527655
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,6,57,546.247303,3350.774958
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,7,68,551.0381551,3901.813113
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,8,71,559.3977921,4461.210905
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,9,77,554.5888629,5015.799768
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,10,83,547.7760339,5563.575802
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,11,83,543.356189,6106.931991
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,12,83,553.3848221,6660.316813
489,489,45,45,5,66414,Learning-enhanced,(cold start),,1,13,83,559.0063989,7219.323212
