row_id,run_id,test_instance_id,test_instance_mod,warehouse_id,random_seed,method,initialization,timeforsubproblem,partition,lsnsiteration,objective,solve_time,cumul_time,solvetime_init,solvetime_spselection,solvetime_spopt,time_utilization,throughput_utilization,bestthroughput_utilization,total_orders_worked,total_orders_completed,congestion_utilization,max_congestion,pods_used,unique_pods_used,items_picked_per_pod,pod_distance_travelled,order_open_time_per_item,orders_size_1,orders_size_2,orders_size_3,orders_size_4,orders_size_5,orders_size_6,orders_size_7,orders_size_8,orders_size_9,orders_size_10,orders_size_large,,,,,,
59,59,6,,1,21518,Randomized,(cold start),,1,15,99,1.595000029,30.94899988,0,0.003000021,0.241000175,0.446236559,0.55,0.388888889,59,59,0.259740437,1.5,67,56,1.767857143,2988,1.707070707,39,9,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,16,105,1.493999958,32.44299984,0,0.003999949,0.170000076,0.462365591,0.583333333,0.405555556,61,61,0.262131148,1.5,67,55,1.909090909,2976,1.561904762,39,9,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,17,109,1.444999933,33.88799977,0,0.003000021,0.126999855,0.475806452,0.605555556,0.419444444,62,62,0.262773224,1.5,68,58,1.879310345,2996,1.467889908,38,10,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,18,115,1.671000004,35.55899978,0,0.008999825,0.730999947,0.494623656,0.638888889,0.438888889,63,63,0.26318306,1.5,69,59,1.949152542,3040,1.408695652,38,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,19,115,1.336000204,36.89499998,0,0.004000187,0.000999928,0.494623656,0.638888889,0.438888889,63,63,0.26318306,1.5,69,59,1.949152542,3040,1.408695652,38,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,20,115,0.836999893,37.73199987,0,0.003999949,0.015000105,0.494623656,0.638888889,0.438888889,63,63,0.26318306,1.5,69,59,1.949152542,3040,1.408695652,38,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,21,115,1.710999966,39.44299984,0,0.003999949,0.412999868,0.494623656,0.638888889,0.438888889,63,63,0.26318306,1.5,69,59,1.949152542,3040,1.408695652,38,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,22,115,1.55700016,41,0,0.003999949,0.613000154,0.494623656,0.638888889,0.438888889,63,63,0.26318306,1.5,69,59,1.949152542,3040,1.408695652,38,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,23,117,1.351999998,42.352,0,0.003000021,0.076999903,0.497311828,0.65,0.447222222,65,65,0.258674863,1.5,68,58,2.017241379,2988,1.41025641,40,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,24,117,1.286000013,43.63800001,0,0.003999949,0.000999928,0.497311828,0.65,0.447222222,65,65,0.258674863,1.5,68,58,2.017241379,2988,1.41025641,40,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,25,117,1.236000061,44.87400007,0,0.003000021,0.003000021,0.497311828,0.65,0.447222222,65,65,0.258674863,1.5,68,58,2.017241379,2988,1.41025641,40,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,26,117,1.378000021,46.25200009,0,0.010000229,0.084000111,0.497311828,0.65,0.447222222,65,65,0.258674863,1.5,68,58,2.017241379,2988,1.41025641,40,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,27,118,1.042999983,47.29500008,0,0.003000021,0.207999945,0.5,0.655555556,0.45,66,66,0.257445355,1.5,68,58,2.034482759,3020,1.440677966,41,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,28,118,1.315000057,48.61000013,0,0.005000114,0.003000021,0.5,0.655555556,0.45,66,66,0.257445355,1.5,68,58,2.034482759,3020,1.440677966,41,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,29,120,1.450000048,50.06000018,0,0.003000021,0.118999958,0.505376344,0.666666667,0.452777778,68,68,0.258674863,1.5,68,58,2.068965517,3060,1.366666667,43,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,30,121,1.564999819,51.625,0,0.003999949,0.238999844,0.508064516,0.672222222,0.455555556,69,69,0.266393443,1.5,68,58,2.086206897,3068,1.355371901,44,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,31,121,1.322999954,52.94799995,0,0.003999949,0.032000065,0.508064516,0.672222222,0.455555556,69,69,0.266393443,1.5,68,58,2.086206897,3068,1.355371901,44,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,32,121,1.284999847,54.2329998,0,0.003999949,0.000999928,0.508064516,0.672222222,0.455555556,69,69,0.266393443,1.5,68,58,2.086206897,3068,1.355371901,44,10,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,33,125,1.457000017,55.68999982,0,0.003999949,0.550000191,0.529569892,0.694444444,0.469444444,71,71,0.273770492,1.5,72,62,2.016129032,3152,1.36,45,10,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,34,125,1.571000099,57.26099992,0,0.003999949,0.25999999,0.529569892,0.694444444,0.469444444,71,71,0.273770492,1.5,72,62,2.016129032,3152,1.36,45,10,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,35,125,1.434999943,58.69599986,0,0.003999949,0.140000105,0.529569892,0.694444444,0.469444444,71,71,0.273770492,1.5,72,62,2.016129032,3152,1.36,45,10,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,36,125,1.457999945,60.15399981,0,0.190999985,0.003000021,0.529569892,0.694444444,0.469444444,71,71,0.273770492,1.5,72,62,2.016129032,3152,1.36,45,10,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,37,125,1.348999977,61.50299978,0,0.002999783,0.002000093,0.529569892,0.694444444,0.469444444,71,71,0.273770492,1.5,72,62,2.016129032,3152,1.36,45,10,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,38,125,1.491999865,62.99499965,0,0.005999804,0.173000097,0.529569892,0.694444444,0.469444444,71,71,0.273770492,1.5,72,62,2.016129032,3152,1.36,45,10,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,39,125,1.315999985,64.31099963,0,0.003999949,0.003999949,0.529569892,0.694444444,0.469444444,71,71,0.273770492,1.5,72,62,2.016129032,3152,1.36,45,10,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,40,131,0.98300004,65.29399967,0,0.004000187,0.131000042,0.559139785,0.727777778,0.497222222,73,73,0.27704918,1.5,77,65,2.015384615,3428,1.229007634,46,10,9,4,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,41,139,1.06799984,66.36199951,0,0.004999876,0.193000078,0.583333333,0.772222222,0.519444444,77,77,0.272131148,1.5,78,67,2.074626866,3336,1.201438849,48,11,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,42,139,1.138999939,67.50099945,0,0.003999949,0.285000086,0.583333333,0.772222222,0.519444444,77,77,0.272131148,1.5,78,67,2.074626866,3336,1.201438849,48,11,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,43,139,1.243000031,68.74399948,0,0.006000042,0.360000134,0.583333333,0.772222222,0.519444444,77,77,0.272131148,1.5,78,67,2.074626866,3336,1.201438849,48,11,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0
59,59,6,,1,21518,Randomized,(cold start),,1,44,140,1.455000162,70.19899964,0,0.003000021,0.125999928,0.583333333,0.777777778,0.519444444,78,78,0.266967213,1.5,77,66,2.121212121,3304,1.228571429,49,11,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0
